IO #|Building|Desk Number|Floor|Space Class|Occupant UUID|Occupant First Name|Occupant Second Name|Occupant Organization
GB006|Dummy Building|FS07-061|FS07|Dummy|UUID_0|Stephen|Hedges|London Projects
GB006|Dummy Building|38FS-G-001|38FS-G|Dummy|UUID_1|Jane|Smith|Core Product
GB006|Dummy Building|38FS-G-002|38FS-G|Dummy|UUID_2|Joe|Blogs|APP SPECS
GB006|Dummy Building|38FS-G-003|38FS-G|Dummy|UUID_3|Steve|Smith|Energy Markets EUR
GB006|Dummy Building|38FS-G-004|38FS-G|Dummy|UUID_4|Louise|Hewitt|Energy Markets EUR
GB006|Dummy Building|38FS-G-005|38FS-G|Dummy|UUID_5|Camille|Reynolds|APP SPECS
GB006|Dummy Building|38FS-G-005|38FS-G|Dummy|UUID_6|Korey|Tyson|Core Product
GB006|Dummy Building|38FS-G-007|38FS-G|Dummy|UUID_7|Charles|Schultz|Energy Markets EUR
GB006|Dummy Building|38FS-G-008|38FS-G|Dummy|UUID_8|Wendy|Lopez|Core Product
GB006|Dummy Building|38FS-G-011|38FS-G|Dummy|UUID_9|Adam|Anderson|Test project
GB006|Dummy Building|38FS-G-012|38FS-G|Dummy|UUID_10|Barry|Berkley|Test project
GB006|Dummy Building|38FS-G-013|38FS-G|Dummy|UUID_11|Caroline|Caves|Test project
GB006|Dummy Building|38FS-G-014|38FS-G|Dummy|UUID_12|Daniel|Day|Test project
GB006|Dummy Building|38FS-G-015|38FS-G|Dummy|UUID_13|Emma|Eloise|Test project
GB006|Dummy Building|38FS-G-016|38FS-G|Dummy|UUID_14|Frank|Fairmile|Core Product
GB006|Dummy Building|38FS-G-017|38FS-G|Dummy|UUID_15|Greta|Garbo|Core Product
GB006|Dummy Building|38FS-G-018|38FS-G|Dummy|UUID_16|Harry|Hill|Test project
GB006|Dummy Building|38FS-G-021|38FS-G|Dummy|UUID_17|Ivan|Ingleston|Test project
GB006|Dummy Building|38FS-G-022|38FS-G|Dummy|UUID_18|Jonah|Jones|Test project
GB006|Dummy Building|38FS-G-023|38FS-G|Dummy|UUID_19|Kara|Kramer|Test project
GB006|Dummy Building|38FS-G-024|38FS-G|Dummy|UUID_20|Laura|Lannister|Test project
GB006|Dummy Building|38FS-G-025|38FS-G|Dummy|UUID_21|Mario|Maradonna|Test project
GB006|Dummy Building|38FS-G-026|38FS-G|Dummy|UUID_22|Nigel|Nonsense|Core Product
GB006|Dummy Building|38FS-G-028|38FS-G|Dummy|UUID_23|Olivia|Owens|Test project
GB006|Dummy Building|38FS-G-032|38FS-G|Dummy|UUID_24|Patrick|Prama|Test project
GB006|Dummy Building|38FS-G-033|38FS-G|Dummy|UUID_25|Quentin|Quicksilver|Test project
GB006|Dummy Building|38FS-G-035|38FS-G|Dummy|UUID_26|Robert|Robertson|Test project
GB006|Dummy Building|38FS-G-038|38FS-G|Dummy|UUID_27|Sarah|Samson|Test project
GB006|Dummy Building|38FS-G-041|38FS-G|Dummy|UUID_28|Trinny|Turnbright|Test project
GB006|Dummy Building|38FS-G-042|38FS-G|Dummy|UUID_29|Undyne|Undertale|Test project
GB006|Dummy Building|38FS-G-043|38FS-G|Dummy|UUID_30|Victor|Varney|Test project
GB006|Dummy Building|38FS-G-045|38FS-G|Dummy|UUID_31|William|Wonga|Test project
GB006|Dummy Building|38FS-G-046|38FS-G|Dummy|UUID_32|Xander|Xaviers|Test project
GB006|Dummy Building|38FS-G-047|38FS-G|Dummy|UUID_33|Yoko|Yu|Test project
GB006|Dummy Building|38FS-G-048|38FS-G|Dummy|UUID_34|Zinedine|Zorovotelli|Test project
GB006|Dummy Building|38FS-G-054|38FS-G|Dummy|UUID_35|Alana|Andrews|R&D
